"contrast","hour","estimate","SE","df","t.ratio","p.value"
"NR F order1 - NR F order2","10",0.219047619047803,0.17273884597897,247.070802102271,1.26808546049029,1
"NR F order1 - PR F order2","10",0.290476190476375,0.17273884597897,247.070802102271,1.68159158891069,1
"NR F order1 - NR M order2","10",0.00476190476204413,0.17273884597897,247.070802102275,0.0275670752288334,1
"NR F order1 - PR M order2","10",0.0523809523810919,0.17273884597897,247.070802102275,0.3032378275091,1
"PR F order1 - NR M order1","10",-0.176190476190292,0.17273884597897,247.070802102271,-1.01998178343592,1
"PR F order1 - PR M order1","10",-0.080952380952196,0.17273884597897,247.070802102275,-0.46864027887538,1
"PR F order1 - NR F order2","10",0.133333333333519,0.17273884597897,247.07080210228,0.771878106385815,1
"PR F order1 - PR F order2","10",0.204761904762091,0.172738845978971,247.070802102275,1.18538423480622,1
"PR F order1 - NR M order2","10",-0.0809523809522406,0.17273884597897,247.07080210228,-0.468640278875638,1
"PR F order1 - PR M order2","10",-0.0333333333331928,0.17273884597897,247.070802102271,-0.192969526595372,1
"NR M order1 - PR M order1","10",0.0952380952380964,0.143649024731934,892.999999999968,0.662991589506591,1
"NR M order1 - NR F order2","10",0.309523809523811,0.164700027350405,247.070802102302,1.87931850712622,1
"NR M order1 - PR F order2","10",0.380952380952383,0.164700027350405,247.070802102297,2.31300739338612,0.603238984810903
"NR M order1 - NR M order2","10",0.0952380952380518,0.164700027350405,247.070802102293,0.578251848346264,1
"NR M order1 - PR M order2","10",0.1428571428571,0.164700027350405,247.070802102302,0.867377772519528,1
"PR M order1 - NR F order2","10",0.214285714285715,0.164700027350405,247.070802102302,1.30106665877969,1
"PR M order1 - PR F order2","10",0.285714285714287,0.164700027350405,247.070802102297,1.73475554503959,1
